,Country,bet,clo,eig
0,BE,0.00238428670472,0.365998123387,0.0850178594591
1,BG,0.0,0.0,0.0110206352882
2,BB,0.0,0.0,0.00880977723767
3,BM,0.0,0.285179574013,0.0
4,JP,0.0383212793668,0.416233159931,0.19152190167
5,BI,0.0,0.0,0.0176195544753
6,JO,0.0,0.2778983934,0.0
7,BR,0.00508154415424,0.276885536823,0.0224973096628
8,JE,0.0,0.280544817046,0.0220412705764
9,RU,0.00290311063507,0.313712677189,0.0100874944385
10,RW,0.0,0.0,0.00880977723767
11,RO,0.0,0.349910293788,0.00450182833552
12,GT,0.0,0.285179574013,0.0
13,GR,0.000278771302335,0.355774712119,0.0210584872977
14,GG,0.0,0.0,0.0440825411527
15,GB,0.13115504327,0.427407204493,0.506772126925
16,GA,0.0,0.0,0.0227353158188
17,GM,0.0,0.0102040816327,0.0
18,GL,0.0,0.0,0.000838356068071
19,GH,0.0,0.0,0.026429331713
20,OM,0.0,0.0,0.00541129025094
21,HR,0.00841573742899,0.265472042476,0.0
22,HU,0.0,0.28896514358,0.0
23,HK,0.0029559325749,0.395550766891,0.0829994626347
24,PT,0.0235421488183,0.376826470233,0.0156547775145
25,KW,0.00071451796678,0.306171507064,0.000220188177145
26,PH,0.0,0.0,0.0440488861883
27,PL,0.0,0.212278911565,0.00880977723767
28,ZM,0.0,0.0,0.0176195544753
29,EG,0.0,0.0,0.00917959821755
30,ZA,0.00891618343048,0.313712677189,0.171411804192
31,VN,0.0,0.0,0.00880977723767
32,ZW,0.0,0.0,0.0621449546495
33,ES,0.00285558995321,0.381907148824,0.0
34,MA,0.0,0.294831821618,0.00880977723767
35,MC,0.00546882458874,0.280544817046,0.0456446641836
36,MM,0.0,0.0,0.00880977723767
37,MO,0.0,0.282710486792,0.0
38,US,0.282926584045,0.606511175899,0.405126922099
39,MT,0.0,0.349910293788,0.0026819567246
40,MW,0.0,0.0,0.00880977723767
41,AU,0.035496361849,0.405628493436,0.123330655926
42,MY,0.00831054071113,0.273320486993,0.000191586744143
43,MX,0.0,0.297551020408,0.0
44,AT,0.0148589529086,0.363906705539,0.08353197199
45,FR,0.0497519589488,0.383636587165,0.422113972352
46,NL,0.0104516354674,0.353798185941,0.0896551880645
47,NO,0.00241206678498,0.275686898136,0.0315349306404
48,NC,0.0,0.265472042476,0.0
49,NG,0.0,0.0,0.0352391089507
50,NZ,0.0265085300359,0.413530347204,0.069006408515
51,CI,0.0,0.0,0.110996083386
52,CH,0.0449409702364,0.398022959184,0.281632784877
53,CN,0.0152418276532,0.40306122449,0.0886866303551
54,CM,0.0,0.0,0.0267991526929
55,CL,0.0,0.272108843537,0.0
56,CA,0.0239220710721,0.421746181916,0.269766140426
57,CD,0.0,0.0,0.000340435703948
58,CZ,0.0,0.349910293788,0.0210584872977
59,XX,0.00411628077839,0.298984382485,0.00915021294161
60,CS,0.0,0.0,0.011733079996
61,UY,0.00871756700181,0.280544817046,0.0597642814653
62,CU,0.0,0.0,0.000340435703948
63,KE,0.0,0.0,0.0506814603399
64,KR,0.0,0.324906081836,0.0
65,SI,0.0,0.204736940648,0.0
66,SO,0.0,0.0,0.00150060944517
67,SN,0.0,0.0,0.00416490360822
68,SA,0.0,0.281786165794,0.00880977723767
69,SG,0.0150182659756,0.293473149629,0.021719491505
70,SE,0.00220036468196,0.349910293788,0.00949553640372
71,DK,0.00992141668557,0.285577011073,0.0101251596385
72,DE,0.0681009478401,0.41086240948,0.248834315209
73,LB,0.000140217918463,0.0102040816327,0.0179893754552
74,TW,0.00641699978961,0.395550766891,0.00880977723767
75,TR,0.0,0.380391929499,0.0
76,LK,0.0,0.0,0.00880977723767
77,LI,0.0,0.251714124385,0.00181654189758
78,LV,0.0,0.0,0.00880977723767
79,LU,0.0,0.0,0.00880977723767
80,TH,9.35081936555e-05,0.357773446457,0.0179599901793
81,TG,0.0,0.0,0.00880977723767
82,VA,0.0,0.215876859218,0.0004723229678
83,AE,0.0,0.273320486993,0.0108225805019
84,AF,0.0,0.353006067292,0.0
85,IS,0.0,0.212723525892,0.0
86,IT,0.00457575975933,0.363906705539,0.112547183249
87,AO,0.0,0.0,0.000680871407896
88,AR,0.00883153011283,0.280544817046,0.0883190590858
89,IM,0.000163864118209,0.290793029541,0.0114917339623
90,IL,0.000387860466537,0.273320486993,0.065930769219
91,IN,0.0,0.280544817046,0.00342919142599
92,TZ,0.0,0.0,0.00972569152667
93,IE,0.0,0.208645758623,0.0
94,ID,0.0,0.24683594368,0.010759485328
95,UA,0.0,0.0,0.00880977723767
96,CY,0.0,0.230763683565,0.0
97,QA,0.0,0.294171722743,0.0
98,MZ,0.0,0.0,0.0183004258832
